year,gdd,tpl_0,tpl_1,transplant_timing,transplant_doy,crop,rep,height_cm,weight_g,weight_reduction_tt,weight_reduction_fal_0,weight_reduction_crop,height_reduction_fal_0,height_reduction_crop
2020,580,50,50,6,211,fallow,2,75,28.49,-12.1,93.9,93.94184254,50.43288613,50.43288613
2020,580,50,50,6,211,fallow,3,60,23.64,7.0,95.0,94.97315401,60.3463089,60.3463089
2020,580,50,50,6,211,fallow,4,90,41.15,-61.9,91.2,91.24980065,40.51946335,40.51946335
2020,0,0,1,1,161,narrow,1,110.75,12.32,97.4,97.4,53.17369821,26.80589518,20.1398904
2020,0,0,1,1,161,narrow,2,130.25,19.34,95.9,95.9,26.4918282,13.91844558,6.078742429
2020,0,0,1,1,161,narrow,3,146,25.11,94.7,94.7,4.561003421,3.509351662,-5.278338621
2020,0,0,1,1,161,narrow,4,167.75,48.49,89.7,89.7,0,-10.86511136,-20.96192674
2020,99,10,10,2,171,narrow,1,101.5,7.01,96.7,98.5,73.35613835,32.91917256,26.80992212
2020,99,10,10,2,171,narrow,2,103,7.58,96.4,98.4,71.18966173,31.92783028,25.72829536
2020,99,10,10,2,171,narrow,3,81.25,2.42,98.9,99.5,90.80197643,46.30229331,41.41188347
2020,99,10,10,2,171,narrow,4,95,4.85,97.7,99.0,81.56594451,37.2149891,31.49697145
2020,204,20,20,3,181,narrow,1,11.75,0.04,100.0,100.0,99.84796655,92.23448549,91.52725699
2020,204,20,20,3,181,narrow,2,12,0.06,100.0,100.0,99.77194983,92.06926178,91.34698587
2020,204,20,20,3,181,narrow,3,14.75,0.12,99.9,100.0,99.54389966,90.25180094,89.36400346
2020,204,20,20,3,181,narrow,4,14.25,0.1,99.9,100.0,99.61991638,90.58224836,89.72454572
2020,347,30,30,4,191,narrow,1,6.75,0.03,100.0,100.0,99.88597491,95.53895975,95.13267955
2020,347,30,30,4,191,narrow,2,5.75,0.01,100.0,100.0,99.96199164,96.1998546,95.85376406
2020,347,30,30,4,191,narrow,3,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,narrow,4,6.75,0.015,100.0,100.0,99.94298746,95.53895975,95.13267955
2020,466,40,40,5,201,narrow,1,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,2,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,3,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,narrow,4,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,1,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,2,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,3,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,narrow,4,0,0,100.0,100.0,100,100,100
2020,0,0,1,1,161,wide,1,80.25,28.97,93.8,93.8,47.06742189,46.96318816,35.31355796
2020,0,0,1,1,161,wide,2,134.75,57.02,87.9,87.9,-4.184176868,10.94441874,-8.616798323
2020,0,0,1,1,161,wide,3,135.5,75.34,84.0,84.0,0,10.4487476,-9.221344511
2020,0,0,1,1,161,wide,4,145.75,57.59,87.8,87.8,-5.225653207,3.674575375,0
2020,99,10,10,2,171,wide,1,159,20.8,90.3,95.6,61.99524941,-5.082281409,-28.16379171
2020,99,10,10,2,171,wide,2,163.35,32.6,84.7,93.1,40.43486205,-7.957174014,-31.6701596
2020,99,10,10,2,171,wide,3,130.5,35.53,83.3,92.4,35.08130824,13.75322186,-5.191036595
2020,99,10,10,2,171,wide,4,143.75,29.1,86.4,93.8,46.8298922,4.996365078,-15.87135257
2020,204,20,20,3,181,wide,1,81.5,3.33,98.3,99.3,93.9155856,46.13706959,34.30598098
2020,204,20,20,3,181,wide,2,82,3.22,98.3,99.3,94.11657226,45.80662217,33.90295019
2020,204,20,20,3,181,wide,3,66.5,2.79,98.6,99.4,94.9022474,56.05049237,46.39690472
2020,204,20,20,3,181,wide,4,94.75,4.44,97.7,99.1,91.88744747,37.38021281,23.625665
2020,347,30,30,4,191,wide,1,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,wide,2,9.5,0.04,100.0,100.0,99.92691394,93.72149891,92.34241496
2020,347,30,30,4,191,wide,3,0,0,100.0,100.0,100,100,100
2020,347,30,30,4,191,wide,4,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,1,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,2,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,3,0,0,100.0,100.0,100,100,100
2020,466,40,40,5,201,wide,4,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,1,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,2,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,3,0,0,100.0,100.0,100,100,100
2020,580,50,50,6,211,wide,4,0,0,100.0,100.0,100,100,100
