year,tpl,date_tpl,gdd_0,GDD,date_harv,doy_harv,eu,transplant,sex,crop,rep,height_cm,weight_g,weight_0,red_all,test_0,red_p_tpl
2019,0,165,0,168,23-Jul,204,29,1,f,narrow,2,71,7.15,94.81696267,21.8579235,21.8579235,
2020,0,161,0,189,14-Aug,227,369,1,m,corn,2,69,11.15,97.62902163,23.31499312,23.31499312,
2019,0,165,0,168,23-Jul,204,12,1,m,narrow,1,73,7,94.92569772,23.49726776,23.49726776,
2020,0,161,0,189,14-Aug,227,343,1,f,narrow,2,127,20.1,95.72585961,23.6031927,23.6031927,
2019,0,165,0,168,23-Jul,204,57,1,m,narrow,4,69,6.99,94.93294672,23.60655738,23.60655738,
2020,10,171,,269,14-Aug,227,409,2,f,wide,2,191,46.01,90.21625874,24.54903247,24.54903247,
2020,10,171,,269,19-Aug,232,422,2,m,fallow,3,206,347.3,26.14880813,26.14880813,26.14880813,
2019,10,175,,247,20-Aug,232,111,2,m,wide,3,99,14.8,89.27147517,27.34413353,27.34413353,
2019,20,185,,379,27-Aug,239,150,3,m,fallow,2,104,100.1,27.43747735,27.43747735,27.43747735,
2020,0,161,0,189,14-Aug,227,341,1,f,narrow,1,132,18.94,95.97252642,28.01216268,28.01216268,
2020,10,171,,269,1-Sep,245,397,2,f,corn,2,130,10.45,97.77787229,28.12929849,28.12929849,
2020,20,181,,373,19-Aug,232,450,3,f,fallow,4,170,335.58,28.64099347,28.64099347,28.64099347,
2020,0,161,0,189,19-Aug,232,383,1,m,narrow,4,150,18.49,96.06821613,29.72253896,29.72253896,
2019,0,165,0,168,15-Aug,227,22,1,f,fallow,2,104,96.54,30.01812251,30.01812251,30.01812251,
2020,10,171,,269,14-Aug,227,408,2,f,wide,2,163,41.59,91.15614434,31.79731059,31.79731059,
2019,30,195,,499,4-Sep,247,231,4,na,fallow,3,81,92.56,32.90322581,32.90322581,32.90322581,
2019,10,175,,247,15-Aug,227,119,2,m,fallow,4,158,92.24,33.13519391,33.13519391,33.13519391,
2019,10,175,,247,15-Aug,227,126,2,m,wide,4,129,13.56,90.17035158,33.43151694,33.43151694,
2019,10,175,,247,15-Aug,227,103,2,m,fallow,3,142,89.42,35.17941283,35.17941283,35.17941283,
2019,10,175,,247,20-Aug,232,86,2,m,fallow,2,147,87.97,36.2305183,36.2305183,36.2305183,
2019,0,165,0,168,23-Jul,204,9,1,m,narrow,1,70,5.8,95.79557811,36.61202186,36.61202186,
2019,0,165,0,168,29-Jul,210,31,1,m,wide,2,106,12.9,90.64878579,36.67157585,36.67157585,
2020,0,161,0,189,14-Aug,227,366,1,m,corn,2,88,9.1,98.06494142,37.41403026,37.41403026,
